"site","band.no","year","species","date","age","sex","fat","wing","dd"
"JOB","2630-01098",2012,"AMRE","04/17/12","ASY","F",2,60,-44.59
"JOB","2630-01132",2012,"AMRE","04/27/12","SY","M",3,60,-150.92
"JOB","2630-01133",2012,"AMRE","04/27/12","ASY","M",2,62,-49.41
"JOB","2630-01135",2012,"AMRE","04/29/12","ASY","M",4,62,-156.23
"JOB","2630-01136",2012,"AMRE","04/29/12","ASY","M",4,62.5,-90.13
"JOB","2630-01143",2012,"AMRE","05/02/12","ASY","M",2,62,-95.41
"JOB","2630-01146",2012,"AMRE","05/02/12","SY","F",1,59,-141.13
"JOB","2630-01154",2012,"AMRE","05/08/12","ASY","M",2,62,-147.95
"JOB","2630-01155",2012,"AMRE","05/08/12","SY","M",1,58.5,-93.59
"JOB","2630-01198",2012,"AMRE","05/09/12","SY","F",1,60.5,-38.9
"JOB","2630-01054",2012,"AMRE","04/07/12","ASY","M",1,61,-60.3
"JOB","2630-01054",2012,"AMRE","04/07/12","ASY","M",1,61,-57.97
"JOB","2630-01055",2012,"AMRE","04/07/12","ASY","M",1,64,-49.51
"JOB","2630-01199",2012,"AMRE","05/09/12","ASY","M",1,62,-92.64
"JOB","2630-01238",2012,"AMRE","05/10/12","SY","F",1,55.5,-134.91
"JOB","2630-01258",2012,"AMRE","05/12/12","SY","M",1,61.5,-153.96
"JOB","2630-01061",2012,"AMRE","04/08/12","ASY","M",1,64,-54.08
"JOB","2630-01062",2012,"AMRE","04/08/12","ASY","M",1,61,-56.26
"JOB","2630-01068",2012,"AMRE","04/09/12","ASY","M",1,64,-59.99
"JOB","2630-01085",2012,"AMRE","04/10/12","ASY","M",1,62.5,-64.72
"JOB","2630-01091",2012,"AMRE","04/13/12","ASY","F",2,60,-39.08
"JOB","2630-01095",2012,"AMRE","04/16/12","ASY","M",2,65,-48.45
"JOB","2630-01096",2012,"AMRE","04/16/12","AHY","U",3,58,-54.53
"MAD","2570-44843",2012,"AMRE","05/09/12","SY","M",1,54,-130.75
"MAD","2620-74919",2012,"AMRE","04/16/12","ASY","F",3,60,-43.82
"MAD","2620-74920",2012,"AMRE","04/16/12","ASY","F",2,60,-47.63
"MAD","2620-74954",2012,"AMRE","04/23/12","ASY","M",1,61,-48.6
"MAD","2620-74954",2012,"AMRE","04/23/12","ASY","M",1,61,-53.27
"MAD","2620-74955",2012,"AMRE","04/23/12","ASY","M",1,64,-56.85
"MAD","2620-74979",2012,"AMRE","05/08/12","SY","M",1,63,-87.34
"MAD","2620-74986",2012,"AMRE","05/08/12","ASY","M",0,63,-93.96
"MAD","2620-74988",2012,"AMRE","05/09/12","ASY","F",1,59,-114.6
"APP","263013210",2013,"AMRE","04/22/13","SY","F",1,58,-40.94
"APP","263013214",2013,"AMRE","05/01/13","ASY","F",1,59,-55.17
"APP","263013214",2013,"AMRE","05/01/13","ASY","F",1,59,-53.85
"APP","263013219",2013,"AMRE","05/09/13","SY","F",0,59,-58.74
"APP","263013220",2013,"AMRE","05/10/13","SY","M",1,63,-68.68
"JOB","2630-24143",2013,"AMRE","04/09/13","ASY","M",2,63,-42.17
"JOB","2630-24146",2013,"AMRE","04/14/13","ASY","M",2,64,-39.22
"JOB","2630-24152",2013,"AMRE","04/16/13","ASY","M",1,64,-46.16
"JOB","2630-24153",2013,"AMRE","04/16/13","ASY","M",1,61,-58.66
"JOB","2630-24167",2013,"AMRE","04/16/13","ASY","M",2,62,-45.17
"JOB","2630-24265",2013,"AMRE","04/23/13","ASY","F",2,60,-41.22
"MAD","2530-12171",2013,"AMRE","04/18/13","SY","F",1,60,-52.31
"MAD","2530-12183",2013,"AMRE","04/21/13","ASY","F",0,61,-51.19
"MAD","2530-12189",2013,"AMRE","04/25/13","SY","M",0,59,-41.17
"MAD","2570-44042",2013,"AMRE","04/25/13","ASY","M",0,65,-59.66
"MAD","2570-44054",2013,"AMRE","04/25/13","SY","F",1,60,-52.57
"MAD","2620-74695",2013,"AMRE","05/01/13","ASY","F",0,58,-54.23
"MAD","2620-74816",2013,"AMRE","05/04/13","SY","M",0,62,-123.51
"MAD","2620-74875",2013,"AMRE","05/07/13","ASY","M",0,65,-112.13
"MAD","2620-74899",2013,"AMRE","05/07/13","SY","M",0,59,-123.36
"MAD","2670-12330",2013,"AMRE","05/09/13","SY","F",1,57,-101.98
"MAD","2670-12331",2013,"AMRE","05/09/13","ASY","F",0,59,-135.61
"MAD","2670-12337",2013,"AMRE","05/10/13","ASY","M",3,61,-115.69
"MAD","2670-12338",2013,"AMRE","05/10/13","ASY","M",0,63,-129.17
"MAD","2670-12345",2013,"AMRE","05/10/13","SY","F",0,57,-134.01
"MAD","2670-12346",2013,"AMRE","05/10/13","ASY","M",0,62,-113.16
"MAD","2670-12346",2013,"AMRE","05/10/13","ASY","M",0,62,-114.02
"MAD","2670-12356",2013,"AMRE","05/10/13","SY","F",0,57,-100.43
"MAD","2670-12358",2013,"AMRE","05/10/13","SY","M",1,59,-133.76
"MAD","2530-12137",2013,"AMRE","04/02/13","ASY","M",0,63,-44.18
"APP","268013209",2014,"AMRE","04/15/14","ASY","M",2,63,-59.49
"APP","268013209",2014,"AMRE","04/15/14","ASY","M",2,63,-58.83
"APP","268013210",2014,"AMRE","04/16/14","ASY","F",0,60,-51.06
"APP","268013216",2014,"AMRE","04/19/14","ASY","M",1,65,-55.53
"APP","268013216",2014,"AMRE","04/19/14","ASY","M",1,65,-53.08
"APP","268013218",2014,"AMRE","04/19/14","ASY","F",0,60,-56.37
"APP","268013219",2014,"AMRE","04/20/14","ASY","M",0,63,-66.09
"APP","268013219",2014,"AMRE","04/20/14","ASY","M",0,63,-65.8
"APP","268013228",2014,"AMRE","04/20/14","SY","M",0,60,-55.69
"APP","268013235",2014,"AMRE","04/23/14","ASY","M",0,61,-46.98
"APP","268013237",2014,"AMRE","04/23/14","ASY","M",0,63,-149.57
"APP","268013237",2014,"AMRE","04/23/14","ASY","M",0,63,-152.82
"APP","268013239",2014,"AMRE","04/30/14","SY","M",0,61,-92.2
"APP","268013241",2014,"AMRE","05/03/14","ASY","M",0,64,-98.31
"APP","268013244",2014,"AMRE","05/09/14","ASY","F",0,61,-85.57
"APP","268013245",2014,"AMRE","05/09/14","AHY","M",1,52,-107.38
"APP","268013245",2014,"AMRE","05/09/14","AHY","M",1,52,-109.36
"JOB","263024810",2014,"AMRE","04/06/14","ASY","M",1,63.5,-55.71
"JOB","263024810",2014,"AMRE","04/06/14","ASY","M",1,63.5,-54.52
"JOB","263024813",2014,"AMRE","04/06/14","ASY","M",1,65,-58.39
"JOB","263024817",2014,"AMRE","04/06/14","ASY","M",1,64,-59.96
"JOB","263024817",2014,"AMRE","04/06/14","ASY","M",1,64,-59.88
"JOB","263024842",2014,"AMRE","04/13/14","ASY","M",1,62.5,-68.44
"JOB","263024860",2014,"AMRE","04/19/14","ASY","F",1,60,-63.07
"JOB","263024862",2014,"AMRE","04/20/14","ASY","F",2,60.5,-57.93
"JOB","263024862",2014,"AMRE","04/20/14","ASY","F",2,60.5,-55.06
"JOB","263024898",2014,"AMRE","04/23/14","ASY","F",1,58,-50.31
"JOB","263024963",2014,"AMRE","04/24/14","SY","F",1,59.5,-52
"JOB","263024971",2014,"AMRE","04/24/14","SY","F",2,57.5,-52.28
"JOB","263024992",2014,"AMRE","04/28/14","ASY","M",3,62,-123.24
"JOB","263024992",2014,"AMRE","04/28/14","ASY","M",3,62,-125.67
"JOB","263024993",2014,"AMRE","04/28/14","ASY","M",3,62.5,-126.65
"JOB","263024997",2014,"AMRE","04/28/14","ASY","M",2,62.5,-140.45
"JOB","263024998",2014,"AMRE","04/28/14","ASY","M",2,63.5,-143.19
"JOB","267058013",2014,"AMRE","04/30/14","ASY","M",1,61.5,-122.74
"JOB","267058013",2014,"AMRE","04/30/14","ASY","M",1,61.5,-127.42
"MAD","2620-74554",2014,"AMRE","04/23/14","SY","F",0,58,-65.45
"MAD","2620-74578",2014,"AMRE","04/28/14","SY","M",2,63,-120.89
"MAD","2620-74579",2014,"AMRE","04/28/14","ASY","M",1,64,-142.81
"MAD","2670-12224",2014,"AMRE","05/09/14","ASY","F",0,60,-116.8
"MAD","2620-74554",2014,"AMRE","04/23/14","SY","F",0,58,-65.05
"MAD","2620-74569",2014,"AMRE","04/26/14","ASY","M",2,64,-142.22
"MAD","2620-74575",2014,"AMRE","04/28/14","ASY","M",1,65,-140.93
"MAD","2620-74579",2014,"AMRE","04/28/14","ASY","M",1,64,-144.19
"MAD","2620-74588",2014,"AMRE","05/01/14","SY","M",1,62,-151.68
"MAD","2670-12221",2014,"AMRE","05/09/14","ASY","M",1,62,-101.07
"MAD","2670-12221",2014,"AMRE","05/09/14","ASY","M",1,62,-104.95
"MAD","2670-12228",2014,"AMRE","05/09/14","SY","M",3,60,-117.96
"MAD","2670-12228",2014,"AMRE","05/09/14","SY","M",3,60,-124.53
"MAD","2670-12230",2014,"AMRE","05/09/14","ASY","F",3,60,-128.28
"MAD","2670-12231",2014,"AMRE","05/09/14","ASY","F",2,61,-136.18
"MAD","2670-12242",2014,"AMRE","05/10/14","ASY","M",0,63,-125.38
"MAD","2670-21674",2014,"AMRE","04/06/14","ASY","M",0,64,-60.52
"MAD","2670-21674",2014,"AMRE","04/06/14","ASY","M",0,64,-61.87
"JOB","1921-73074",2012,"OVEN","04/18/12","SY","U",1,70,-42.64
"JOB","1921-73491",2012,"OVEN","04/26/12","AHY","U",3,77.5,-138.18
"JOB","1921-73535",2012,"OVEN","04/29/12","SY","U",3,74.5,-129.82
"JOB","1921-73552",2012,"OVEN","05/01/12","SY","U",1,72.5,-42.6
"JOB","1921-73558",2012,"OVEN","05/02/12","AHY","U",1,76,-67.54
"JOB","1921-73564",2012,"OVEN","05/02/12","AHY","U",2,71.5,-89.52
"JOB","1921-73567",2012,"OVEN","05/02/12","AHY","U",1,74,-73.5
"JOB","1921-73594",2012,"OVEN","05/07/12","SY","U",2,73,-98.05
"JOB","1921-73595",2012,"OVEN","05/07/12","SY","U",2,73.5,-77.08
"JOB","1921-73596",2012,"OVEN","05/07/12","SY","U",3,71.5,-86.81
"JOB","1921-73597",2012,"OVEN","05/07/12","SY","U",3,70.5,-79.11
"JOB","1921-73160",2012,"OVEN","04/07/12","AHY","U",2,76,-50.42
"JOB","1921-73598",2012,"OVEN","05/07/12","SY","U",4,73,-114.44
"JOB","1921-73610",2012,"OVEN","05/09/12","SY","U",1,70,-91.28
"JOB","1921-73297",2012,"OVEN","04/11/12","AHY","U",1,71.5,-46.66
"JOB","1921-73299",2012,"OVEN","04/11/12","SY","U",1,72,-86.78
"JOB","1921-73396",2012,"OVEN","04/20/12","AHY","U",2,76,-106.68
"JOB","1921-73415",2012,"OVEN","04/21/12","AHY","U",4,74.5,-76.11
"JOB","1921-73448",2012,"OVEN","04/22/12","SY","U",1,74,-69.93
"JOB","1921-73472",2012,"OVEN","04/24/12","SY","U",4,70.5,-64.65
"MAD","2311-56895",2012,"OVEN","04/19/12","ASY","U",0,57,-91.92
"MAD","2391-68872",2012,"OVEN","05/02/12","ASY","U",1,72,-62.57
"MAD","2391-68890",2012,"OVEN","05/04/12","ASY","U",1,71,-96.54
"MAD","2391-68954",2012,"OVEN","04/07/12","AHY","U",0,73,-66.78
"MAD","2401-30581",2012,"OVEN","04/17/12","ASY","F",1,69,-62.85
"MAD","2401-30594",2012,"OVEN","04/17/12","ASY","U",2,72,-83.67
"MAD","2521-44801",2012,"OVEN","05/09/12","AHY","U",1,72,-149.1
"MAD","2521-44815",2012,"OVEN","05/10/12","AHY","U",1,71,-99.75
"MAD","2391-68252",2012,"OVEN","04/22/12","ASY","F",0,69,-52.68
"MAD","2391-68254",2012,"OVEN","04/22/12","ASY","U",3,75,-82.79
"MAD","2391-68255",2012,"OVEN","04/22/12","ASY","F",3,67,-62.73
"MAD","2391-68256",2012,"OVEN","04/22/12","ASY","F",2,67,-58.72
"MAD","2391-68256",2012,"OVEN","04/22/12","ASY","F",2,67,-58.08
"MAD","2391-68260",2012,"OVEN","04/22/12","ASY","U",1,73,-82.73
"MAD","2391-68300",2012,"OVEN","04/24/12","ASY","U",2,72,-106.63
"MAD","2391-68864",2012,"OVEN","04/28/12","ASY","U",1,74,-140.25
"MAD","2391-68870",2012,"OVEN","05/01/12","ASY","U",1,75,-84.48
"APP","251140939",2013,"OVEN","04/23/13","ASY","U",2,70,-50.23
"APP","251140944",2013,"OVEN","04/26/13","SY","U",0,77,-69.9
"APP","251140945",2013,"OVEN","04/27/13","ASY","U",1,71,NA
"APP","251140946",2013,"OVEN","04/29/13","ASY","U",0,71,-62.48
"APP","251140950",2013,"OVEN","05/01/13","ASY","U",1,78,-118.52
"APP","251140953",2013,"OVEN","05/02/13","AHY","U",3,77,-84.1
"APP","251140957",2013,"OVEN","05/04/13","SY","U",2,74,-64.54
"APP","251140958",2013,"OVEN","05/04/13","SY","U",3,76,-90.91
"APP","251140966",2013,"OVEN","05/07/13","SY","U",1,70,-53.66
"APP","251140966",2013,"OVEN","05/07/13","SY","U",1,70,-44.42
"JOB","2511-51051",2013,"OVEN","04/07/13","AHY","U",1,79,-51.71
"JOB","2511-51060",2013,"OVEN","04/11/13","SY","U",4,70.5,-52.68
"JOB","2511-51085",2013,"OVEN","04/14/13","AHY","U",1,77,-95.89
"JOB","2511-51188",2013,"OVEN","04/22/13","AHY","U",1,75,-82.08
"JOB","2511-51389",2013,"OVEN","04/27/13","AHY","U",1,72,-90.56
"JOB","2511-51527",2013,"OVEN","04/30/13","SY","U",2,78,-98.28
"JOB","2511-51527",2013,"OVEN","04/30/13","SY","U",2,78,-98.86
"MAD","2391-95279",2013,"OVEN","04/20/13","ASY","U",2,72,-56.17
"MAD","2521-44897",2013,"OVEN","04/13/13","AHY","U",1,74,-56.89
"MAD","2521-57007",2013,"OVEN","04/22/13","AHY","U",0,70,-52.37
"MAD","2521-57020",2013,"OVEN","04/23/13","ASY","U",0,77,-47.41
"MAD","2521-57072",2013,"OVEN","04/25/13","ASY","U",0,68,-61.87
"MAD","2521-57081",2013,"OVEN","04/25/13","AHY","U",1,76,-85.67
"MAD","2521-57084",2013,"OVEN","04/25/13","ASY","U",0,72,-85.62
"MAD","2521-57092",2013,"OVEN","04/25/13","SY","U",1,75,-91.02
"MAD","2521-57092",2013,"OVEN","04/25/13","SY","U",1,75,-89.92
"MAD","2521-57093",2013,"OVEN","04/25/13","AHY","U",0,70,-47.74
"MAD","2521-57105",2013,"OVEN","04/26/13","AHY","U",0,73,-88.58
"MAD","2521-57107",2013,"OVEN","04/26/13","SY","U",0,75,-116.07
"MAD","2521-57108",2013,"OVEN","04/26/13","ASY","U",0,76,-82.27
"MAD","2521-57114",2013,"OVEN","04/26/13","SY","U",1,71,-80.79
"MAD","2521-57133",2013,"OVEN","04/28/13","AHY","U",0,75,-78.84
"MAD","2521-57137",2013,"OVEN","04/28/13","AHY","U",0,74,-76.09
"MAD","2521-57148",2013,"OVEN","04/28/13","AHY","U",1,74,-118.09
"MAD","2521-57149",2013,"OVEN","04/28/13","AHY","U",0,73,-92.6
"MAD","2521-57190",2013,"OVEN","05/01/13","AHY","U",0,72,-94.06
"MAD","2521-57198",2013,"OVEN","05/01/13","SY","U",0,70,-147.83
"MAD","2521-57213",2013,"OVEN","05/04/13","SY","U",1,72,-76.91
"MAD","2521-57220",2013,"OVEN","05/05/13","ASY","U",0,75,-104.5
"MAD","2521-57223",2013,"OVEN","05/05/13","AHY","U",1,81,-116.37
"MAD","2521-57232",2013,"OVEN","05/05/13","AHY","U",0,73,-135.76
"MAD","2521-57262",2013,"OVEN","05/05/13","SY","U",1,74,-143.55
"MAD","2521-57276",2013,"OVEN","05/07/13","AHY","U",1,72,-73.93
"MAD","2521-57282",2013,"OVEN","05/07/13","SY","U",0,74,-121.99
"MAD","2591-27207",2013,"OVEN","05/09/13","ASY","U",1,75,-98.24
"MAD","2591-27207",2013,"OVEN","05/09/13","ASY","U",1,75,-100.66
"APP","251140988",2014,"OVEN","04/20/14","SY","U",2,75,-61.22
"APP","251140988",2014,"OVEN","04/20/14","SY","U",2,75,-63.31
"APP","251140989",2014,"OVEN","04/20/14","SY","U",0,79,-81.38
"APP","251140990",2014,"OVEN","04/20/14","SY","U",0,73,-91.57
"APP","251140995",2014,"OVEN","04/20/14","SY","U",1,72,-77.97
"APP","251140995",2014,"OVEN","04/20/14","SY","U",1,72,NA
"APP","251140999",2014,"OVEN","04/20/14","SY","U",1,74,-88.24
"APP","251140999",2014,"OVEN","04/20/14","SY","U",1,74,-89.9
"APP","259123359",2014,"OVEN","04/16/14","AHY","U",3,72,-53.01
"APP","259123375",2014,"OVEN","04/17/14","SY","U",1,69,-61.2
"APP","259123375",2014,"OVEN","04/17/14","SY","U",1,69,-61.92
"APP","259123380",2014,"OVEN","04/19/14","ASY","U",1,76,-57.84
"APP","259123388",2014,"OVEN","04/19/14","ASY","U",3,75,-146.02
"APP","259123388",2014,"OVEN","04/19/14","ASY","U",3,75,-147.9
"APP","259123392",2014,"OVEN","04/19/14","ASY","U",2,73,-84.32
"APP","259123452",2014,"OVEN","04/29/14","ASY","U",0,79,-80.09
"APP","271023919",2014,"OVEN","04/16/14","SY","U",0,74,-53.57
"APP","271023919",2014,"OVEN","04/16/14","SY","U",0,74,-56.38
"JOB","259115802",2014,"OVEN","04/06/14","ASY","U",1,74.5,-65.15
"JOB","259115802",2014,"OVEN","04/06/14","ASY","U",1,74.5,-68.72
"JOB","259115830",2014,"OVEN","04/06/14","AHY","U",1,76,-57.31
"JOB","259115835",2014,"OVEN","04/07/14","ASY","U",1,76,-66.17
"JOB","259115855",2014,"OVEN","04/13/14","ASY","U",1,72.5,-57.65
"JOB","259115862",2014,"OVEN","04/15/14","ASY","U",3,77.5,-131.22
"JOB","259115882",2014,"OVEN","04/17/14","ASY","U",1,77.5,-129.46
"JOB","259115893",2014,"OVEN","04/19/14","AHY","U",2,71,-56.83
"JOB","259115894",2014,"OVEN","04/19/14","SY","U",1,71,-63.25
"JOB","259115933",2014,"OVEN","04/20/14","ASY","U",1,73,-71.65
"JOB","259115939",2014,"OVEN","04/20/14","ASY","U",1,76.5,-94.58
"JOB","259115939",2014,"OVEN","04/20/14","ASY","U",1,76.5,-98.09
"JOB","259115952",2014,"OVEN","04/21/14","ASY","U",1,74.5,-57.44
"JOB","259115976",2014,"OVEN","04/22/14","AHY","U",1,74.5,-147.41
"JOB","259115990",2014,"OVEN","04/23/14","SY","U",2,70,-71.13
"JOB","259115992",2014,"OVEN","04/23/14","ASY","U",1,76,-126.12
"JOB","259115994",2014,"OVEN","04/23/14","ASY","U",1,76.5,-80.79
"JOB","259116020",2014,"OVEN","04/23/14","ASY","U",2,77.5,-110.25
"JOB","259116028",2014,"OVEN","04/24/14","ASY","U",3,73,-138.85
"JOB","259116039",2014,"OVEN","04/24/14","ASY","U",3,74,-144.98
"JOB","259116045",2014,"OVEN","04/24/14","SY","U",2,71.5,-93.74
"JOB","259116046",2014,"OVEN","04/24/14","ASY","U",3,77,-145.07
"JOB","259116046",2014,"OVEN","04/24/14","ASY","U",3,77,-151.77
"JOB","259116048",2014,"OVEN","04/24/14","ASY","U",3,75.5,-92.8
"JOB","259116062",2014,"OVEN","04/28/14","AHY","U",1,74,-148.3
"JOB","259116063",2014,"OVEN","04/28/14","AHY","U",3,70.5,-61.95
"JOB","259116069",2014,"OVEN","04/28/14","ASY","U",4,75.5,-99.07
"JOB","259116102",2014,"OVEN","05/01/14","SY","U",1,72,-101.81
"JOB","259116105",2014,"OVEN","05/02/14","SY","U",2,72.5,-112.89
"JOB","259116112",2014,"OVEN","05/02/14","AHY","U",2,77.5,-94.73
"JOB","259116133",2014,"OVEN","05/03/14","AHY","U",1,72,-95.47
"JOB","259116145",2014,"OVEN","05/06/14","SY","U",3,73,-46.07
"JOB","259116146",2014,"OVEN","05/06/14","SY","U",3,71,-132.98
"JOB","259116146",2014,"OVEN","05/06/14","SY","U",3,71,-139.78
"JOB","259116151",2014,"OVEN","05/07/14","AHY","U",4,72,-95.64
"JOB","259116152",2014,"OVEN","05/07/14","SY","U",4,73.5,-76.6
"JOB","259116153",2014,"OVEN","05/07/14","ASY","U",4,78.5,-100.03
"JOB","259116154",2014,"OVEN","05/07/14","ASY","U",3,73,-128.87
"JOB","259116155",2014,"OVEN","05/07/14","SY","U",4,72.5,-96.94
"JOB","259116158",2014,"OVEN","05/09/14","SY","U",3,75,-100.29
"JOB","259116161",2014,"OVEN","05/10/14","AHY","U",2,72.5,-91.73
"JOB","259116161",2014,"OVEN","05/10/14","AHY","U",2,72.5,-91.97
"MAD","1831-95335",2014,"OVEN","04/19/14","AHY","U",0,71,-58.09
"MAD","1831-95335",2014,"OVEN","04/19/14","AHY","U",0,71,-51.29
"MAD","1831-95352",2014,"OVEN","04/19/14","AHY","U",0,73,-65.52
"MAD","1831-95363",2014,"OVEN","04/20/14","AHY","U",0,76,-91.9
"MAD","2391-95110",2014,"OVEN","04/20/14","SY","U",1,74,-74.27
"MAD","2391-95171",2014,"OVEN","04/21/14","AHY","U",3,71,-53.17
"MAD","2391-95171",2014,"OVEN","04/21/14","AHY","U",3,71,-52.44
"MAD","2391-95181",2014,"OVEN","04/22/14","AHY","U",2,76,-67.97
"MAD","2511-43880",2014,"OVEN","04/08/14","AHY","U",1,69,-56.73
"MAD","2591-27233",2014,"OVEN","04/15/14","SY","U",0,76,-71.65
"MAD","2591-27285",2014,"OVEN","04/19/14","ASY","U",0,76,-80.87
